,id_name,count,id,cost_usdph,read_cache_load,read_cache_mem,read_cache_sto,read_cache_s3,read_spool_mem,read_spool_sto,read_spool_s3,rw_mem,rw_sto,rw_s3,rw_xchg,used_mem_caching,used_sto_caching,used_mem_spooling,used_sto_spooling,stat_read_spool,stat_read_work,time_cpu,time_mem,time_sto,time_s3,time_xchg,stat_time_sum,stat_time_max,used_cores,time_load,scale,stat_price_sum
5,c5n.18xlarge,13,c5n.18xlarge/13,50.544,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,32.1665662076
1,c5.24xlarge,13,c5.24xlarge/13,53.04,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,33.8076542929
12,z1d.12xlarge,13,z1d.12xlarge/13,58.032,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,36.9895511675
0,m5.24xlarge,13,m5.24xlarge/13,59.904,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,38.1827624955
7,c5d.24xlarge,13,c5d.24xlarge/13,59.904,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,38.1827624955
13,i3.16xlarge,13,i3.16xlarge/13,64.896,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,41.3646593701
6,m5d.24xlarge,13,m5d.24xlarge/13,70.512,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,44.9442933541
11,m5n.24xlarge,13,m5n.24xlarge/13,74.256,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,47.257054058
8,r5.24xlarge,13,r5.24xlarge/13,78.624,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,50.1148757753
10,m5dn.24xlarge,13,m5dn.24xlarge/13,84.864,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,54.0080617806
3,r5d.24xlarge,13,r5d.24xlarge/13,89.856,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,57.2741437432
2,r5n.24xlarge,13,r5n.24xlarge/13,92.976,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,59.1705970979
14,r5dn.24xlarge,13,r5dn.24xlarge/13,104.208,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,66.3187229218
4,i3en.24xlarge,13,i3en.24xlarge/13,141.024,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,1.1904,2291.0659692,2289.2307692,3,0.0,1.2400000000000002,89.7486909001
9,x1e.32xlarge,13,x1e.32xlarge/13,346.944,0.0,2.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,24,2.0,0.0,2.0,0.0,12,2,2289.2307692,0.6448,0.0,0.0,4.7616,2294.6371692,2289.2307692,3,0.0,1.2400000000000002,221.1418327864
